Date,Open,High,Low,Close,Adj Close,Volume,Company
8/24/2016,77.25,78.029999,76.690002,77.510002,61.236576,971047,bmw
8/25/2016,76.800003,76.839996,75.599998,76.220001,60.217419,1490961,bmw
8/26/2016,76.099998,77.290001,75.82,77.230003,61.015369,1476195,bmw
8/29/2016,76.709999,77.230003,76.07,76.879997,60.738838,708241,bmw
8/30/2016,77.440002,78.559998,77.110001,78.459999,61.987129,1213735,bmw
8/31/2016,78.379997,79.279999,78.010002,78.010002,61.631615,1314066,bmw
9/1/2016,78.269997,79.800003,77.550003,77.93,61.568401,1480375,bmw
9/2/2016,78.370003,78.769997,76.660004,78.57,62.074028,1593828,bmw
9/5/2016,78.970001,79.059998,78.239998,78.239998,61.81332,843916,bmw
9/6/2016,78.620003,78.620003,77.239998,77.550003,61.268185,1218090,bmw
9/7/2016,77.760002,78.849998,76.959999,78.239998,61.81332,1206012,bmw
9/8/2016,78.419998,78.519997,76.139999,77.440002,61.181274,2131834,bmw
9/9/2016,77.309998,77.849998,76.540001,76.93,60.778355,1184648,bmw
9/12/2016,75.5,75.900002,74.599998,75.580002,59.7118,2043200,bmw
9/13/2016,76,76.32,74.949997,75.410004,59.57748,1305666,bmw
9/14/2016,75.639999,75.769997,74.610001,75.099998,59.332561,1371437,bmw
9/15/2016,74.910004,75.669998,74.139999,75.300003,59.490589,1294409,bmw
9/16/2016,75.25,75.5,73.220001,73.419998,58.005291,2855151,bmw
9/19/2016,74.050003,74.639999,73.809998,73.970001,58.439819,1231305,bmw
9/20/2016,73.959999,74.480003,73.720001,74.089996,58.534618,1062279,bmw
9/21/2016,74.760002,75.269997,74.269997,74.360001,58.747929,1202665,bmw
9/22/2016,75.150002,76.959999,74.919998,76.279999,60.26482,1961060,bmw
9/23/2016,76.25,76.470001,75.330002,75.589996,59.719688,1056154,bmw
9/26/2016,75.059998,75.129997,73.400002,73.730003,58.250198,1924227,bmw
9/27/2016,74.290001,74.440002,72.029999,73.18,57.815678,1668855,bmw
9/28/2016,73.510002,74.489998,73.410004,73.68,58.210697,1184285,bmw
9/29/2016,74.489998,75.059998,73.449997,73.699997,58.226501,1296793,bmw
9/30/2016,72.379997,75.129997,72.019997,74.809998,59.103451,2422227,bmw
10/4/2016,76,77.68,75.790001,77.290001,61.062767,2802839,bmw
10/5/2016,76.650002,78.389999,75.980003,78.18,61.765915,1831075,bmw
10/6/2016,78.300003,78.690002,77.860001,78.300003,61.860725,1405848,bmw
10/7/2016,78.300003,78.330002,76.839996,77.410004,61.157574,1794688,bmw
10/10/2016,77.43,78.389999,76.830002,78.089996,61.694805,1360853,bmw
10/11/2016,78.050003,78.75,77.449997,77.660004,61.355091,1419536,bmw
10/12/2016,77.660004,78.029999,76.720001,77,60.83366,1195629,bmw
10/13/2016,76.339996,76.550003,75.279999,75.940002,59.996201,1688240,bmw
10/14/2016,75.790001,77.550003,75.709999,76.839996,60.707241,1787777,bmw
10/17/2016,76.720001,76.940002,75.889999,76.339996,60.312225,1073588,bmw
10/18/2016,76.860001,77.239998,76.019997,77.010002,60.84156,1395534,bmw
10/19/2016,77.099998,78.589996,76.519997,78.019997,61.639503,1566405,bmw
10/20/2016,78.599998,79.669998,78.089996,79.169998,62.548061,1777144,bmw
10/21/2016,79.139999,79.190002,77.970001,78.629997,62.121426,1600932,bmw
10/24/2016,79.010002,80.099998,79.010002,79.589996,62.879875,1364786,bmw
10/25/2016,79.870003,80.379997,79.449997,79.629997,62.91148,962293,bmw
10/26/2016,79.400002,80.370003,79.150002,80.07,63.259098,1235956,bmw
10/27/2016,80,80.540001,79.5,79.919998,63.140598,1311206,bmw
10/28/2016,79.370003,80.300003,78.339996,80.169998,63.338108,1150215,bmw
10/31/2016,80,80.239998,78.93,79.370003,62.706066,1253884,bmw
11/1/2016,79.800003,79.989998,78.050003,78.32,61.876518,1165792,bmw
11/2/2016,77.589996,77.589996,75.199997,75.400002,59.569588,2420080,bmw
11/3/2016,75.300003,76.279999,75,75.230003,59.43528,1437285,bmw
11/4/2016,73.949997,75.720001,73.580002,75.459999,59.616985,2173379,bmw
11/7/2016,77.099998,77.370003,76.529999,77.199997,60.991669,1578469,bmw
11/8/2016,77,77.5,75.970001,77.309998,61.078575,1631926,bmw
11/9/2016,73.510002,76.949997,73.400002,76.839996,60.707241,3870661,bmw
11/10/2016,77.589996,77.720001,76.099998,76.779999,60.659851,2030338,bmw
11/11/2016,76.830002,80.150002,76.82,80.110001,63.290703,3100893,bmw
11/14/2016,80.779999,82.540001,80.540001,80.879997,63.899044,2549250,bmw
11/15/2016,81.120003,81.730003,80.480003,81.529999,64.412575,1290580,bmw
11/16/2016,81.510002,81.669998,79.75,80.739998,63.788441,1387781,bmw
11/17/2016,80.540001,81.57,79.699997,80.419998,63.535614,1433849,bmw
11/18/2016,81.099998,81.93,80.419998,81,63.993847,1728801,bmw
11/21/2016,81.160004,82.93,80.669998,82.370003,65.076218,2004221,bmw
11/22/2016,83,83.489998,82.580002,83.300003,65.810959,1962034,bmw
11/23/2016,83.199997,83.309998,81.129997,82.239998,64.973503,1825460,bmw
11/24/2016,82.489998,82.800003,82.089996,82.510002,65.186829,663757,bmw
11/25/2016,82.43,82.790001,81.919998,82.790001,65.408043,798224,bmw
11/28/2016,81.919998,82.559998,81.559998,82.059998,64.831291,1171748,bmw
11/29/2016,82.139999,82.139999,80.300003,81.199997,64.151855,1555821,bmw
11/30/2016,81.18,81.309998,80.029999,80.410004,63.527725,1712074,bmw
12/1/2016,80.160004,80.769997,79.449997,80.07,63.259098,1411483,bmw
12/2/2016,79.209999,80.029999,78.559998,79.82,63.061584,1476924,bmw
12/5/2016,79.309998,82.599998,79.199997,82.400002,65.099907,2083892,bmw
12/6/2016,82.519997,83.629997,81.970001,83.370003,65.866264,1560553,bmw
12/7/2016,84.080002,86.620003,84.059998,86.32,68.196899,2508926,bmw
12/8/2016,87,89.330002,86.650002,88.989998,70.306328,3308826,bmw
12/9/2016,88.400002,89.260002,87.660004,88.769997,70.132515,1870981,bmw
12/12/2016,88.5,89.099998,87.330002,88.089996,69.595284,1398367,bmw
